,Restaurant,url
115,110. NZ Curry House,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d866765-Reviews-NZ_Curry_House-Kuala_Lumpur_Wilayah_Persekutuan.html
116,111. Contango,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d3723317-Reviews-Contango-Kuala_Lumpur_Wilayah_Persekutuan.html
117,112. Nipah,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d1091560-Reviews-Nipah-Kuala_Lumpur_Wilayah_Persekutuan.html
118,113. Brasserie 25,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d12364131-Reviews-Brasserie_25-Kuala_Lumpur_Wilayah_Persekutuan.html
119,114. Antipodean Mid Valley,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d6749612-Reviews-Antipodean_Mid_Valley-Kuala_Lumpur_Wilayah_Persekutuan.html
120,115. Kampachi EQ,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d1092910-Reviews-Kampachi_EQ-Kuala_Lumpur_Wilayah_Persekutuan.html
121,116. The Lobby Lounge,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d2514806-Reviews-The_Lobby_Lounge-Kuala_Lumpur_Wilayah_Persekutuan.html
122,117. Nasi Kandar Pelita,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d1165286-Reviews-Nasi_Kandar_Pelita-Kuala_Lumpur_Wilayah_Persekutuan.html
123,118. Li Yen,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d1134081-Reviews-Li_Yen-Kuala_Lumpur_Wilayah_Persekutuan.html
124,119. Din Tai Fung at The Gardens Mall,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d1089297-Reviews-Din_Tai_Fung_at_The_Gardens_Mall-Kuala_Lumpur_Wilayah_Persekutuan.html
125,120. Restoran Nagasari Curry House,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d1165547-Reviews-Restoran_Nagasari_Curry_House-Kuala_Lumpur_Wilayah_Persekutuan.html
126,Knowhere Bangsar,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d15223699-Reviews-Knowhere_Bangsar-Kuala_Lumpur_Wilayah_Persekutuan.html
127,91. Tamarind Springs By Samadhi,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d785561-Reviews-Tamarind_Springs_By_Samadhi-Kuala_Lumpur_Wilayah_Persekutuan.html
128,92. Marini's on 57,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d3244412-Reviews-Marini_s_on_57-Kuala_Lumpur_Wilayah_Persekutuan.html
129,93. FS Nasi Kandar Corner,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d12032654-Reviews-FS_Nasi_Kandar_Corner-Kuala_Lumpur_Wilayah_Persekutuan.html
130,94. RSMY,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d1152913-Reviews-RSMY-Kuala_Lumpur_Wilayah_Persekutuan.html
131,95. Bijan,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d1020629-Reviews-Bijan-Kuala_Lumpur_Wilayah_Persekutuan.html
132,Le Petit Chef - Kuala Lumpur,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d21184087-Reviews-Le_Petit_Chef_Kuala_Lumpur-Kuala_Lumpur_Wilayah_Persekutuan.html
133,96. Leaf & Co Cafe,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d10876892-Reviews-Leaf_Co_Cafe-Kuala_Lumpur_Wilayah_Persekutuan.html
134,97. La Boca Latino Bar,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d4009875-Reviews-La_Boca_Latino_Bar-Kuala_Lumpur_Wilayah_Persekutuan.html
135,98. Restoran Yusoof dan Zakhir,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d1165565-Reviews-Restoran_Yusoof_dan_Zakhir-Kuala_Lumpur_Wilayah_Persekutuan.html
136,99. Lemon Garden,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d815127-Reviews-Lemon_Garden-Kuala_Lumpur_Wilayah_Persekutuan.html
137,100. Tujo,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d4778126-Reviews-Tujo-Kuala_Lumpur_Wilayah_Persekutuan.html
138,101. AQUA Restaurant & Bar,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d8401491-Reviews-AQUA_Restaurant_Bar-Kuala_Lumpur_Wilayah_Persekutuan.html
139,102. Bombay Palace,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d969030-Reviews-Bombay_Palace-Kuala_Lumpur_Wilayah_Persekutuan.html
140,103. Shang Palace,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d1134195-Reviews-Shang_Palace-Kuala_Lumpur_Wilayah_Persekutuan.html
141,104. Dewakan Restaurant,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d7785726-Reviews-Dewakan_Restaurant-Kuala_Lumpur_Wilayah_Persekutuan.html
142,105. Kampachi Pavilion,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d919240-Reviews-Kampachi_Pavilion-Kuala_Lumpur_Wilayah_Persekutuan.html
143,106. Halab KL,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d10083838-Reviews-Halab_KL-Kuala_Lumpur_Wilayah_Persekutuan.html
144,107. Gobo Upstairs Lounge & Grill,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d919372-Reviews-Gobo_Upstairs_Lounge_Grill-Kuala_Lumpur_Wilayah_Persekutuan.html
145,108. Emily's Steakhouse Kuala Lumpur,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d17543167-Reviews-Emily_s_Steakhouse_Kuala_Lumpur-Kuala_Lumpur_Wilayah_Persekutuan.html
146,"109. WET Deck, W Kuala Lumpur",https://www.tripadvisor.com.my//Restaurant_Review-g298570-d15125498-Reviews-WET_Deck_W_Kuala_Lumpur-Kuala_Lumpur_Wilayah_Persekutuan.html
147,110. NZ Curry House,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d866765-Reviews-NZ_Curry_House-Kuala_Lumpur_Wilayah_Persekutuan.html
148,111. Contango,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d3723317-Reviews-Contango-Kuala_Lumpur_Wilayah_Persekutuan.html
149,112. Nipah,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d1091560-Reviews-Nipah-Kuala_Lumpur_Wilayah_Persekutuan.html
150,113. Brasserie 25,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d12364131-Reviews-Brasserie_25-Kuala_Lumpur_Wilayah_Persekutuan.html
151,114. Antipodean Mid Valley,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d6749612-Reviews-Antipodean_Mid_Valley-Kuala_Lumpur_Wilayah_Persekutuan.html
